pattern,pres,temp,volt,dist,fr,dia
0−−00,0.3,70,10,4.5,37.5,4.006
0−+00,0.3,70,13,4.5,37.5,6.42
+−000,0.5,70,11.5,4.5,37.5,6.008
−−000,0.1,70,11.5,4.5,37.5,3.524
0−0+0,0.3,70,11.5,6,37.5,4.62
0−00+,0.3,70,11.5,4.5,50,5.95
0−0−0,0.3,70,11.5,3,37.5,7.33
0−00−,0.3,70,11.5,4.5,25,6.968
0,0.3,85,11.5,4.5,37.5,11.148
0,0.3,85,11.5,4.5,37.5,10.432
00−0+,0.3,85,10,4.5,50,7.218
00−−0,0.3,85,10,3,37.5,10.246
00++0,0.3,85,13,6,37.5,10.736
0,0.3,85,11.5,4.5,37.5,9.812
000−+,0.3,85,11.5,3,50,11.94
−00+0,0.1,85,11.5,6,37.5,5.752
00−+0,0.3,85,10,6,37.5,6.123
00+0−,0.3,85,13,4.5,25,13.297
000++,0.3,85,11.5,6,50,6.466
−0+00,0.1,85,13,4.5,37.5,5.912
00+0+,0.3,85,13,4.5,50,8.058
000+−,0.3,85,11.5,6,25,11.6
0,0.5,85,13,4.5,37.5,13.166
0,0.5,85,11.5,6,37.5,8.872
00+−0,0.3,85,13,3,37.5,11.458
+00−0,0.5,85,11.5,3,37.5,12.964
−00−0,0.1,85,11.5,3,37.5,7.04
000−−,0.3,85,11.5,3,25,15.264
00−0−,0.3,85,10,4.5,25,8.502
−000+,0.1,85,11.5,4.5,50,5.566
+0−00,0.5,85,10,4.5,37.5,4.76
+000+,0.5,85,11.5,4.5,50,10.31
0,0.3,85,11.5,4.5,37.5,11.556
0,0.3,85,11.5,4.5,37.5,9.812
−0−00,0.1,85,10,4.5,37.5,4.418
+000−,0.5,85,11.5,4.5,25,15.05
0,0.3,85,11.5,4.5,37.5,10.723
−000−,0.1,85,11.5,4.5,25,8.234
0++00,0.3,100,13,4.5,37.5,13.184
−+000,0.1,100,11.5,4.5,37.5,8.154
0+−00,0.3,100,10,4.5,37.5,9.95
0,0.5,100,11.5,4.5,37.5,13.124
0+0+0,0.3,100,11.5,6,37.5,10.234
0+00+,0.3,100,11.5,4.5,50,11.732
0+00−,0.3,100,11.5,4.5,25,17.082
0+0−0,0.3,100,11.5,3,37.5,13.26
